type_of_sentence,verb_main_semantic_class,verb_second_semantic_class,verb_third_semantic_class,verb_veridical_positive,verb_veridical_negative,verb_tense,t_negation,semantic_relation
eliptyczne,mówienia,none,none,o,?,brak,0,N
eliptyczne,epistemiczny,none,none,?,?,past,0,?
eliptyczne,mówienia,none,none,?,?,past,0,N
1,epistemiczny,percepcyjny,none,+,+,past,0,N
1,epistemiczny,percepcyjny,none,o,o,present,0,N
1,epistemiczny,percepcyjny,none,o,o,present,0,N
1,epistemiczny,percepcyjny,none,o,o,past,1,E
1,epistemiczny,percepcyjny,none,o,o,present,0,N
1,epistemiczny,percepcyjny,none,o,o,present,0,N
1,epistemiczny,percepcyjny,none,o,o,past,0,N
1,epistemiczny,percepcyjny,none,o,o,present,0,N
1,epistemiczny,percepcyjny,none,o,o,past,0,N
1,epistemiczny,percepcyjny,none,o,o,present,0,N
1,epistemiczny,percepcyjny,none,o,o,present,0,N
1,epistemiczny,percepcyjny,none,o,o,present,0,N
1,epistemiczny,percepcyjny,none,o,o,present,0,N
1,epistemiczny,percepcyjny,none,o,o,present,0,N
generalne,epistemiczny,percepcyjny,none,o,o,present,0,?
pytajne,epistemiczny,percepcyjny,none,o,o,present,0,N
1,epistemiczny,percepcyjny,none,o,o,past,0,E
1,percepcyjny,epistemiczny,none,+,+,past,0,E
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,mówienia,none,none,o,o,past,0,N
1,emotywny,epistemiczny,none,o,o,present,0,N
1,emotywny,epistemiczny,none,o,o,past,1,N
1,emotywny,epistemiczny,none,o,o,past,0,N
1,emotywny,epistemiczny,none,o,o,present,0,N
1,emotywny,epistemiczny,none,o,o,present,0,N
1,emotywny,epistemiczny,none,o,o,present,0,N
1,emotywny,epistemiczny,none,o,o,present,0,N
1,emotywny,epistemiczny,none,o,o,present,0,N
modalne,emotywny,epistemiczny,none,o,o,past,0,?
powtarzające się zdarzenie,emotywny,epistemiczny,none,o,o,present,0,N
warunkowe,emotywny,epistemiczny,none,o,o,present,0,N
1,epistemiczny,none,none,o,+,brak,0,E
1,epistemiczny,none,none,o,+,brak,0,E
modalne,epistemiczny,none,none,o,+,present,0,E
powinnościowe,epistemiczny,none,none,o,+,brak,0,E
1,emotywny,epistemiczny,none,+,+,future,0,?
1,emotywny,epistemiczny,none,+,+,present,0,E
imperatyw; warunkowe,epistemiczny,none,none,o,o,future,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,past,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,past,0,N
1,epistemiczny,none,none,o,o,past,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,past,0,N
1,epistemiczny,none,none,o,o,present,0,N
generalne,epistemiczny,none,none,o,o,present,0,N
generalne,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,present,0,N
1,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,past,0,?
1,epistemiczny,none,none,o,o,present,0,N
